,G23,F19,F99
sn2006hb,9.092498069283536,,70.97257316339089
sn2006hb,9.092498069283536,,70.97257316339089
sn2008fl,371.2374253884883,39.15932007432121,34.114555833584355
sn2007jg,46.48589968300253,107.83100619879184,340.6752138173824
sn2008R,22.490303914012514,8.984516079057695,15.525681876495566
sn2009ad,4.715085043225212,4.960314586682186,11.37893220431238
sn2006ob,3.396808178440192,69.51135519603604,32.11951035951677
sn2009ds,38.42915173567545,18.519072949987468,269.9505662901671
sn2007hx,4.994455385453172,5.536763400414042,5.099676156359879
sn2007bd,6.628697861856675,6.155883071905181,9.651512249865164
sn2004ey,7.09714734283823,98.357251490162,514.8482794609683
sn2007so,66.74925283870617,19.1634766230604,82.70345928970778
sn2009ab,18.498724264921044,297.3087469502192,235.2382893992369
sn2007A,89.61702241107673,76.45198978611297,72.2766045957748
sn2008gl,172.3019774229644,17.352415704626832,24.92226137721156
sn2007nq,149.32780831651425,21.77029289066203,63.12580496856179
sn2007on,32.40801088927596,124.12654473812144,12.851522046649054
sn2008hj,146.97920435986225,160.7353456005582,4.430725524600714
sn2007st,11.587407372865838,4.25291212633679,10.411131397503606
sn2009le,31.488864319115383,456.1653935634378,3.105550157321855
sn2005hc,476.5633718271496,67.59226328006993,85.69006288247844
sn2005bo,24.890274551135423,14.81977359179378,97.4757897489471
sn2008fu,9.100874030088136,9.834041608680112,8.598407049411955
sn2004gs,5.068195585811942,42.8135582434448,3.017158729364806
sn2008ff,175.98997642387096,94.2981174542118,693.2918878515104
sn2006D,50.16455261406818,353.3523092678928,149.17085684294764
sn2005M,58.23263995005372,8.36955920219822,69.6805071808812
sn2007S,5.525800752646616,76.85822014093075,363.9073717954274
sn2006bh,19.157140568809343,243.00985822151927,752.7095949799142
sn2009al,43.44898471468555,3.060320075520159,7.305475062898632
sn2008O,7.106944089977517,9.2689290173101,2.7773608922512367
sn2006lu,6.578169854918163,12.347429724462671,23.576474661098423
sn2007bm,184.0390161693645,356.0897874727995,109.85448454618748
sn2007sr,130.53642125018726,387.08204011088753,90.24704763413308
sn2008bz,181.2432467346295,244.99548727610184,71.73884155000749
sn2014J,121.10320634128591,247.80242733766312,138.84498909437914
sn2005A,31.506216430035558,132.22061063966134,38.13716320858098
sn2004ef,13.099181303728171,15.821079160969092,145.51089072748334
sn2006ax,15.114207585304458,84.77452840038026,5.367558918560835
sn2005ku,18.030224369735222,19.68837604880961,92.82457154591884
sn2008gg,61.737834208658114,11.484866537636258,64.67946540555077
sn2007ca,12.107005433505766,65.71263388276164,20.96410571816437
sn2005lu,3.747023880154543,3.0950684329753213,34.45883969077956
sn2006gj,28.73883408764039,9.453529775460508,1.9847854302151555
sn2008ar,7.821209668505276,5.455766017709126,131.90839433210462
sn2006et,22.29304668310092,5.692160466525904,19.497345528245507
sn2007ai,15.423753710329024,1.538328155582459,47.711390420691785
sn2009I,26.88815999197758,23.142811702956145,57.75051045345967
sn2006kf,6.59341541628744,185.1298348632808,5.497836636327805
sn2008hu,21.33300324170065,18.934700236394317,97.44641587242194
sn2008cc,158.82972729057033,84.70571070942663,112.03588158826916
sn2009aa,122.34327568263367,5.857422518991183,14.858081589634953
sn2006os,3.149533667317433,83.0951212549259,19.56728309752239
sn2008hv,39.566016229443925,9.82923833763541,8.364302967932398
sn2008go,3.5942835323573954,3.472700012281626,11.296079226590146
sn2006br,16.22588453409644,8.860646850414973,1.6382727365156071
sn2005eq,6.252454452720113,38.50147562836287,32.075724493048206
sn2008fp,187.0049415578855,262.84081822632464,295.6148061914728
sn2008C,8.910253867739153,35.590261613158404,13.854623798450431
sn2006X,829.5309747546399,13.42347091419448,7.263772305328426
sn2007jd,17.51529331162094,7.805000923568064,42.26300728869867
sn2005kc,2.3699916228184,75.48104771906065,155.19638565085612
sn2006ej,7.274961264545378,63.37954325217855,70.65387922249262
sn2005al,539.8571157001467,443.93512158544536,78.66870344147034
sn2005am,377.9411197810073,1343.6716976563705,112.75248560108928
sn2006hx,26.48670658526669,125.24337130924754,70.33225733683759
sn2008cf,25.856930704741124,9.8769123646483,73.17143838174509
sn2009ag,99.13333503722818,171.7373740377629,4.774415565309766
sn2008fw,587.0521071144781,815.5004323883632,92.86697368662766
sn2007af,13.005980585430832,125.08156304816126,102.14391493239592
sn2006is,135.48378697877524,13.381079217686922,307.9400682197795
sn2004eo,129.27229019259613,22.25308774664319,482.3784267951027
sn2008bf,337.59634974776804,33.87399843061341,20.72305228155112
sn2008fr,28.112069246879688,7.058953881217824,11.0829961634129
sn2008gp,41.52072246461288,126.9609312809146,262.29798836800694
sn2009cz,226.8224577868332,16.953467465785323,189.3945708622485
sn2002cv,12.368537655846636,11.761184660359977,5.846641921322167
sn2007le,92.78766643384668,338.3310369653422,28.520403383195177
sn2009P,50.40581657060262,58.64455492962069,22.901465446627103
sn2009D,163.36101755062998,55.88175079582077,20.83761211385357
sn2008ia,87.35569750836686,6.400533838893401,21.01849276144997
sn2008bc,245.3748801023122,59.39181225953768,87.42709106673321
sn2005na,93.99879694105896,13.857051192986086,15.557437178039796
sn2009Y,22.23802963477423,29.90235036762234,68.26814146679096
sn2007ux,13.185757164676753,123.96783096884454,41.35345771030983
sn2007as,175.51486551653474,412.7037637775975,71.96070501677374
sn2007hj,112.5028948903179,151.34902635108946,283.7560883408314
sn2005ki,151.87784623806874,301.7951264401176,5.5218371287365
sn2007bc,29.09499247055055,159.13692825396572,48.28464039479198
sn2005iq,7.906023296658388,95.10795036969648,45.68851648758447
sn2008bq,40.85941891456078,36.39369046872134,9.16416793691726
