,G23,F99
sn2006hb,,
sn2006hb,,
sn2008fl,9.777484427276578,
sn2007jg,6.694348775507926,
sn2008R,9.926168467914271,
sn2009ad,6.207568256615314,
sn2006ob,5.091109229728601,
sn2009ds,9.705634129084649,
sn2007hx,6.055015788408561,
sn2007bd,8.161832488790962,
sn2004ey,8.48391735149315,
sn2007so,19.561115357957288,
sn2009ab,5.050532008332233,
sn2007A,1.6898735841685586,
sn2008gl,9.121531363228932,
sn2007nq,9.27738655377416,
sn2007on,12.766104400231624,
sn2008hj,6.524512815520721,
sn2007st,5.72950889721682,
sn2009le,4.398003852173334,
sn2005hc,7.786609047432627,
sn2005bo,1.328024417333485,
sn2008fu,6.629891862477442,
sn2004gs,3.8209377983839774,
sn2008ff,16.757214752537468,
sn2006D,4.361372503529754,
sn2005M,5.340813248870961,
sn2007S,3.019691469378059,
sn2006bh,6.673303416911586,
sn2009al,4.553283341833329,
sn2008O,3.102624939504472,
sn2006lu,10.437501395183302,
sn2007bm,2.8509956812205672,
sn2007sr,3.881286858778104,
sn2008bz,14.733314036974477,
sn2014J,205.6328209554841,
sn2005A,3.821222954641709,
sn2004ef,21.439823870970745,
sn2006ax,5.070034205626077,
sn2005ku,4.682646732787955,
sn2008gg,11.658021007002503,
sn2007ca,3.4412710397963067,
sn2005lu,4.867564975114319,
sn2006gj,1.959461877565342,
sn2008ar,8.717521155831102,
sn2006et,6.162030079895688,
sn2007ai,1.9963899032697543,
sn2009I,0.9159652491638144,
sn2006kf,4.249922011738864,
sn2008hu,10.542417941029916,
sn2008cc,7.270638363747625,
sn2009aa,7.488389582178872,
sn2006os,3.739218216637012,
sn2008hv,8.517191631676763,
sn2008go,2.5862264322603887,
sn2006br,1.6250248248176509,
sn2005eq,5.493947698117222,
sn2008fp,11.882785095113134,
sn2008C,5.553870356523827,
sn2006X,5.847217875197424,
sn2007jd,7.235039239772356,
sn2005kc,2.5245062725749707,
sn2006ej,6.503166969895977,
sn2005al,4.780164449187914,
sn2005am,8.638082900736727,
sn2006hx,6.237511995262681,
sn2008cf,12.825192077174323,
sn2009ag,4.556440690299059,
sn2008fw,7.774756590694038,
sn2007af,3.188123977804383,
sn2006is,19.447903158617503,
sn2004eo,11.541998565601936,
sn2008bf,8.576686689209366,
sn2008fr,11.09458795898745,
sn2008gp,10.584063408389154,
sn2009cz,5.248377554003513,
sn2002cv,4.045231825750017,
sn2007le,3.9077532814591907,
sn2009P,5.219951581735341,
sn2009D,8.77216366963313,
sn2008ia,6.81003994956747,
sn2008bc,6.67211320516928,
sn2005na,10.946032721684432,
sn2009Y,5.5089199471804084,
sn2007ux,4.508719454088932,
sn2007as,6.05573666568303,
sn2007hj,9.553273413996749,
sn2005ki,6.510051437413629,
sn2007bc,4.449870563078495,
sn2005iq,5.890582844193218,
sn2008bq,11.52525089573603,
